Transaction ID,Date,Weekday,Month,Category,Amount,Transaction Type,Payment Method,Merchant,User ID
89c5b31a-eb6c-4016-8ee6-24d09dac6e83,2024-04-14,6,4,Dining,821.43,Expense,Debit Card,Marshall-Petersen,da09dfa0-5282-4d80-84b5-91f797ac6aa8
4767d76c-162f-4a24-af43-613cd4aac9a3,2024-04-05,4,4,Groceries,91.72,Income,Credit Card,Sanchez-Marshall,561e16d1-6105-416b-ab0e-664e9c3eb2d5
2e8d0e87-5334-40e6-99d8-0b8d7e8adee7,2024-01-12,4,1,Dining,354.39,Income,Cash,Lewis-Salinas,989d9d4a-e15c-4666-8797-b2c957207246
0299436a-8e48-4223-86b9-8991e14eb70d,2024-09-29,6,9,Groceries,194.67,Expense,Cash,"Vaughan, Miller and Cortez",3d85de89-c217-4429-8e20-07247d137018
7da67785-b63b-4dc3-a559-e46379e13cea,2024-09-25,2,9,Groceries,98.22,Income,Bank Transfer,Mcguire-Davis,3e493f43-b118-468d-a786-d50638ba8abc
79279973-5e78-4fd7-94e0-d3baa9f948b2,2024-04-28,6,4,Rent,1364.88,Income,Credit Card,"Schmidt, Coleman and Reese",7428a656-b3ee-4d3b-9a10-412954aebd1b
1ee34dc4-3b04-4a8b-805b-fdc94e7ed827,2024-04-15,0,4,Health,6.68,Expense,Cash,"Lee, Wilson and Herrera",3108d448-2f65-4afa-b0ae-8f08c31edbbc
b97e6703-46c8-4dfe-bbf4-7042bd1531c8,2024-03-25,0,3,Health,74.62,Income,Cash,"Bray, Warren and Campbell",4bd6cee6-31b1-4099-9527-21e719bc143e
039f3a25-4d61-48bd-adef-e1935c62b3a2,2024-03-29,4,3,Rent,950.48,Income,Bank Transfer,"Ferguson, Hill and Mccann",f1afdb65-b289-4224-8ac9-778d8da8eee4
7daa39f0-c0b6-4ce2-9e53-790aa34b6cf6,2024-02-19,0,2,Transport,405.39,Income,Debit Card,Salas PLC,70c2903f-7a8d-43aa-b82a-65e048ca7651
40a26c60-0d27-4659-b72a-da9b2f32751e,2024-05-12,6,5,Entertainment,423.34,Income,Debit Card,Wilson-Jones,a1235a8c-93b7-4886-92f7-0c977de31a51
cfa701cd-2631-400b-a6d7-94d30db95301,2024-09-23,0,9,Dining,409.04,Expense,Cash,"Avery, Miller and Wright",9b37a22b-6a8a-416f-83b2-90d08edddfcd
c693da11-39c6-41ca-9e50-aa42ca6dfda1,2024-08-19,0,8,Dining,214.13,Income,Bank Transfer,"James, Kerr and Evans",4e2d6645-6dc7-4ac7-bd72-b05096a9954f
f5c9b047-9c10-4572-8f6b-40d09efba58b,2024-08-08,3,8,Shopping,444.95,Expense,Bank Transfer,"Garcia, Farmer and Garrett",2834e4c0-14c8-43b4-a911-d19243bfd931
2812859a-1337-439e-8d4f-5d272c7f0b79,2024-04-03,2,4,Utilities,177.7,Income,Credit Card,Ortiz Ltd,085b15fb-4a8f-4810-b84c-2f29980402a2
b3f6fe0d-4860-4b32-b4fb-0eb949c13de7,2024-03-30,5,3,Entertainment,674.43,Expense,Debit Card,Jones-Hall,a003cd28-ca8f-4653-89af-18f843b9da13
32a447b2-ef04-457d-8dcc-c33aa9434aa0,2024-08-17,5,8,Utilities,160.18,Income,Credit Card,Wilson-Walker,d39e198b-4400-4d5a-a88d-a71926242b40
cae9b4a7-2a79-4a68-8f44-704f1247ea4e,2024-02-25,6,2,Shopping,417.37,Expense,Bank Transfer,Larson-Holloway,1fd5a423-706c-4c56-89e2-623debd34616
670acc5c-b321-4f21-8dd8-eb85b04d3376,2024-07-01,0,7,Shopping,402.65,Expense,Credit Card,Mason-Snyder,e3b137fc-0a34-40fc-9918-ee461497d658
40181c6e-9a8c-4a3c-9283-aac7bc0a6a5d,2024-06-16,6,6,Rent,828.26,Income,Credit Card,Davis Ltd,964db03f-9340-4fad-9c4a-d56bd6016237
d248a9a7-ac1a-4554-83c7-5611ffe3fa49,2024-01-09,1,1,Entertainment,917.88,Expense,Bank Transfer,Johnston-Hines,a6c9537f-84da-406a-b872-bdeb2cd94cbb
ff37d19c-2e76-428b-8735-44f9ea83bf00,2024-06-20,3,6,Utilities,350.41,Income,Bank Transfer,"Graham, Olsen and Costa",5553b2fe-6889-403e-9913-f9d3785299f4
292bd156-db94-4570-9ac7-0ec0ab8ddeb4,2024-05-04,5,5,Health,831.42,Income,Debit Card,Jenkins-Simpson,d045dd1c-6684-49e3-b1f8-343ea99f1318
168b1625-746f-4891-8964-fbbf8cd321b0,2024-10-22,1,10,Shopping,452.82,Expense,Cash,King-Wilson,83bc9478-dd6a-47b8-a778-043bc5c5b37a
764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,2024-01-01,0,1,Shopping,628.61,Income,Bank Transfer,Brown-Stone,a01ac992-7f9d-4e64-81a6-423b9f64eeed
445dcc38-341c-4494-8d36-6dfcc28ebd70,2024-06-20,3,6,Rent,851.74,Income,Cash,"Anderson, Roberts and Gilmore",f920264c-0763-4cd0-9f15-c7b67c16128d
b5b453ca-3d42-493c-8c9f-d3349bdf0377,2024-09-01,6,9,Rent,846.89,Expense,Debit Card,Collins Inc,3985fb62-17dc-4eff-a872-13f98d605936
a5d04d53-1e12-42e3-b272-92b6762172ed,2024-02-14,2,2,Rent,996.32,Income,Bank Transfer,Jimenez Ltd,45ff2c83-b495-4b4e-8245-6fb44ab7706e
78e3654b-faf1-4ff0-bb85-179ad5b077e0,2024-06-10,0,6,Groceries,95.63,Expense,Bank Transfer,Bryant and Sons,9970cf60-ebff-4d15-b0cb-d7556232b17a
dd30de89-22f2-45f2-a11b-868dbf0d073d,2024-07-16,1,7,Shopping,10.87,Income,Cash,Hill Group,81fb18b3-c9a7-491f-af2a-e71357021049
b9de7a3a-4868-42b9-80a8-1de9d20f87d0,2024-04-13,5,4,Health,854.18,Income,Debit Card,Monroe-Carpenter,260a5962-dd81-47f5-bd59-11c6a8f1e091
551ac8ea-585a-4afa-bbfd-cc1289e06ab3,2024-06-22,5,6,Shopping,223.32,Income,Bank Transfer,"Hines, Bennett and Cantu",b28f41de-fb14-4bc3-b04b-8590de9e3757
db23aa8c-3bca-4f85-a20a-60ac9261549d,2024-04-02,1,4,Groceries,140.4,Income,Debit Card,Williams-Garner,61985d54-cfb8-4e6f-a9d6-8f23b489d070
d21c82f8-cada-4f80-a9e7-82d4fd08b32c,2024-05-29,2,5,Shopping,919.94,Expense,Bank Transfer,"Pollard, Simpson and Johnson",54fd9ad3-9716-408e-b721-69bb80962718
1986b4b2-70b7-4868-9854-80f0dfcaf0b7,2024-02-08,3,2,Groceries,97.15,Income,Debit Card,"Lozano, Smith and Thomas",2784378f-f84f-46b3-a79f-bfafdef57689
43d88870-f81d-4aa1-8812-0a8e78308930,2024-01-30,1,1,Groceries,78.92,Income,Cash,Hanson-Sanders,da330aa1-541c-4fcd-9a0d-4a5f148f8b74
f4427e0b-6148-4bb3-889b-78d5dbfdd97e,2024-09-18,2,9,Transport,762.42,Income,Cash,Sims-Clay,0930aef6-8a80-468d-9f54-7e507cea2045
af34cf65-a193-44b2-bc19-e71d118405ad,2024-08-27,1,8,Health,256.01,Expense,Bank Transfer,Bright-Francis,c2a79689-1933-418c-ba74-57616f18c108
7194eae2-19ba-47ae-9f61-5a5cb4323070,2024-09-03,1,9,Groceries,29.38,Income,Debit Card,Benson Inc,0e5dd462-cbd0-4ef2-930a-37df0bc61066
25440fe0-6e41-4d47-9ff5-95ea5bc440f1,2024-04-23,1,4,Rent,1477.63,Expense,Debit Card,Schmidt PLC,2b840c67-2e18-4554-8ae2-8e66ae8a7813
61ee6c5b-deef-480f-9c07-a75114374509,2024-03-08,4,3,Entertainment,840.03,Expense,Debit Card,"Vega, Jimenez and Aguilar",4104a8b5-a34d-47c5-b60d-ebbb3b70b3a1
e61ede90-0267-4eb3-aab6-12c9415d174a,2024-06-27,3,6,Utilities,101.48,Expense,Bank Transfer,Santana-Byrd,f1faf665-7115-43f3-92e8-9d1028711733
a3917c99-4c95-4f6a-966b-1964fcd6bdca,2024-05-14,1,5,Dining,768.06,Expense,Credit Card,Vaughn-Bryant,627b41a1-ffd6-4232-b2ff-e2944d57d880
92698698-61a1-4729-bcb9-83501b4da0fe,2024-07-06,5,7,Utilities,98.64,Expense,Cash,Andrews-Haney,d47d577b-fa5a-41ca-859d-d55d4b943e30
90e0b95f-0212-4554-8644-58b46553867d,2024-09-12,3,9,Health,399.67,Expense,Credit Card,"Osborne, Beltran and Lozano",e776b886-d534-4e1d-bf29-84f5bec39a37
9b689c88-3ae9-49fe-8c82-18dac696f5e6,2024-04-21,6,4,Entertainment,106.39,Income,Credit Card,Robinson-Lee,b88ec318-c16d-43ed-ad81-f8bd402913ec
2303f6c6-d69d-42f1-ae4c-84ffa8c01f05,2024-10-25,4,10,Groceries,97.11,Income,Credit Card,"Davis, Burton and Williams",945ef2e4-088a-43ec-b0d9-c9f8c9e26074
e8dd5e5a-1712-4b16-a1a4-344fbb7bee03,2024-05-21,1,5,Transport,17.59,Income,Bank Transfer,Murphy-Perry,8a16a06c-c958-475e-a1d5-3971336749b5
45c45a3e-e9da-484a-8075-9f1f87e5f0fe,2024-05-22,2,5,Rent,1043.28,Income,Debit Card,Scott Group,bf1e8366-4b8e-43d4-8e76-07adf7a67b94
f6802cdb-77e4-40c7-9d7b-c313cde22f1c,2024-05-11,5,5,Health,180.26,Income,Bank Transfer,Taylor and Sons,aca5e2fd-b966-442a-ad23-8d36dc322c97
8eac0a33-cdf9-44a7-9882-b5c1f79efd70,2024-06-03,0,6,Shopping,438.4,Income,Cash,Davis-Foster,746cdb77-1fa3-42e8-895c-cd9943b38eb4
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,2024-05-23,3,5,Entertainment,831.58,Expense,Cash,"James, Little and Watson",066803ee-78b2-4549-bbdb-c09eacc216a0
53f8382b-8fb8-44e4-b173-8856e25d36eb,2024-08-28,2,8,Shopping,247.64,Income,Bank Transfer,"Walker, Brown and Colon",a6348e78-4d5c-45c7-b379-cb1ee8cda0cc
f23e323d-0b9b-4934-a3c8-6d301dde7969,2024-06-07,4,6,Transport,33.56,Income,Debit Card,Torres Group,e3236d1a-3c1b-4acc-98e1-93311dba1267
5efa9c5b-7421-4f46-a37e-4b0122bae10e,2024-07-27,5,7,Shopping,216.06,Income,Cash,"Avery, Horton and Fernandez",278ed00d-ba02-46ef-be05-5787965befdf
7d45d8ef-d56c-48ea-9959-7b5aa7a8f636,2024-06-10,0,6,Dining,880.92,Income,Credit Card,"Russell, Lynn and Johnson",71d79665-7181-4dcf-b79e-fc6e5edb0d3c
fb1e143b-196f-4dfa-9cd8-fe1adafec8a9,2024-04-01,0,4,Entertainment,90.18,Income,Bank Transfer,"Richardson, Winters and Newman",30974b2b-46a0-4a9b-a5ec-7acd0f8035f5
74685b98-d2fe-4fde-9918-b3e5f2f25eef,2024-02-17,5,2,Entertainment,692.16,Income,Bank Transfer,Bates Ltd,0577aea9-f899-4246-98de-8ebba3b5cece
fd235def-3e5a-47e3-9560-db22c96b5edb,2024-01-20,5,1,Groceries,59.89,Expense,Cash,Buchanan and Sons,8de08fc2-c3e1-4a85-946e-f10411906f50
dea45c19-d024-4d72-b748-967f961d33ba,2024-03-21,3,3,Transport,475.89,Income,Bank Transfer,Murphy and Sons,00b9d4a3-9892-40ac-a689-33a9c9e48e8c
fcce96f6-250a-4578-bbe9-4499dbc080fd,2024-04-17,2,4,Transport,355.05,Income,Cash,Fernandez and Sons,06998731-ddcf-4766-a93b-12cd1c24220e
c9d6a63b-ca3c-4f5f-9bb5-c40c03cde2e3,2024-02-21,2,2,Dining,255.15,Expense,Debit Card,Chapman Inc,20733f6d-0d6a-45b3-83ef-20162c9b662e
bee3eb79-1d18-4ee9-86ad-8a8c6bc4123e,2024-10-15,1,10,Transport,123.96,Expense,Debit Card,Alvarez LLC,73b6a09b-1bea-46ac-97fa-7f0483639007
0b19f88e-9d77-445e-b206-c26938b77c07,2024-07-14,6,7,Entertainment,739.91,Income,Cash,"Logan, Camacho and Boyd",07f97d05-f6ca-4b8b-a4b1-f99175424646
66d06371-d8e8-4ebb-ba9e-8eefffa361be,2024-01-24,2,1,Rent,944.37,Income,Debit Card,Parks-Henry,e63658c9-12d0-498d-b18d-4d05e8e22743
10d08d11-25f9-44bf-9bb9-61555275eb94,2024-02-01,3,2,Dining,19.08,Expense,Cash,Hill Ltd,533f5a72-b64f-454a-8c61-165495da75c1
4b7e6b3c-87d2-42a6-98ee-ac2bfe9fecaa,2024-05-27,0,5,Groceries,119.6,Expense,Bank Transfer,Wagner-Jordan,da509fed-1d4a-4d81-b3a7-d0e0cb08587d
8d244e3e-c4da-4ddb-a0b1-5abaa6a27967,2024-09-11,2,9,Rent,1361.1,Income,Bank Transfer,"Glenn, Jordan and Beasley",74188109-d3d1-4f0f-96c4-38e469efafb1
50032b35-1857-4baf-bac7-e2b96a7e4c36,2024-06-03,0,6,Shopping,344.0,Expense,Cash,Edwards-Scott,ec48bf55-afd3-40c4-a713-582cf41ea3ac
15da705c-d4ef-40aa-975a-81ec112fa612,2024-07-03,2,7,Shopping,118.52,Expense,Bank Transfer,Reynolds Ltd,214f3f12-cfd0-4cbd-9f65-c8cebd21bc11
8fc42092-f4e5-49e5-9622-93480f5ae9d3,2024-08-04,6,8,Shopping,78.71,Expense,Debit Card,"Rivera, Martinez and Gomez",6c4596f6-c012-40ff-b0ed-e303aa53c19c
